rank	lemma	display	root	pos	gloss
1	و	و		particle	and
2	ال	ال		particle	the
3	ل	ل		particle	for; to; belonging to
4	مِن	مِن		particle	from; of
5	ف	ف		particle	so; then
6	اللَّه	اللَّه	أله	noun	God
7	ما	ما		noun	what; not
8	ب	ب		particle	with; by; in
9	لا	لا		particle	no; not
10	فِي	فِي		particle	in
11	إِنّ	إِنّ		particle	indeed
12	قالَ	قالَ	قول	verb	to say
13	الَّذِي	الَّذِي		noun	who; which
14	عَلَى	عَلَى		particle	on; upon; against
15	كانَ	كانَ	كون	verb	to be
16	ذا	ذا		noun	this; that
17	رَبّ	رَبّ	ربب	noun	lord; master
18	مَن	مَن		noun	who; whoever
19	إِلَى	إِلَى		particle	to; towards
20	إِن	إِن		particle	if
21	إِلّا	إِلّا		particle	except
22	أَن	أَن		particle	that; to (before a verb)
23	آمَنَ	آمَنَ	أمن	verb	to believe
24	أ	أ		particle	question prefix: is it that…?
25	ه	ه		particle	attention prefix, as in "this here" and "O you"
26	يَوْم	يَوْم	يوم	noun	day
27	عَن	عَن		particle	from; about; away from
28	أَرْض	أَرْض	أرض	noun	earth; land
29	إِذا	إِذا		noun	when; whenever
30	قَد	قَد		particle	indeed; already
31	قَوْم	قَوْم	قوم	noun	a people; folk
32	عَلِمَ	عَلِمَ	علم	verb	to know
33	آيَة	آيَة	أيي	noun	sign; verse
34	أَنّ	أَنّ		particle	that
35	ي	ي		particle	O — vocative prefix
36	كُلّ	كُلّ	كلل	noun	every; all
37	لَم	لَم		particle	not (negates a past action)
38	جَعَلَ	جَعَلَ	جعل	verb	to make; to appoint
39	ثُمّ	ثُمّ		particle	then; thereafter
40	رَسُول	رَسُول	رسل	noun	messenger
41	عَذاب	عَذاب	عذب	noun	punishment
42	سَماء	سَماء	سمو	noun	sky; heaven
43	إِذ	إِذ		noun	when (of the past)
44	نَفْس	نَفْس	نفس	noun	soul; self
45	كَفَرَ	كَفَرَ	كفر	verb	to disbelieve; to reject
46	ك	ك		particle	like; as
47	شَىْء	شَىْء	شيأ	noun	thing
48	أَو	أَو		particle	or
49	جاءَ	جاءَ	جيأ	verb	to come
50	عَمِلَ	عَمِلَ	عمل	verb	to do; to work
51	رَأَى	رَأَى	رأي	verb	to see
52	آتَى	آتَى	أتي	verb	to give
53	بَيْن	بَيْن	بين	noun	between
54	أَتَى	أَتَى	أتي	verb	to come
55	كِتاب	كِتاب	كتب	noun	book; scripture
