rank	lemma	root	pos	count
1	و		P	9594
2	ال		P	8377
3	ل		P	4380
4	مِن		P	3226
5	ف		P	3001
6	اللَّه	أله	N	2699
7	ما		N	2565
8	ب		P	2544
9	لا		P	1742
10	فِي		P	1701
11	إِنّ		P	1682
12	قالَ	قول	V	1618
13	الَّذِي		N	1468
14	عَلَى		P	1445
15	كانَ	كون	V	1358
16	ذا		N	1058
17	رَبّ	ربب	N	975
18	مَن		N	871
19	إِلَى		P	742
20	إِن		P	703
21	إِلّا		P	659
22	أَن		P	616
23	آمَنَ	أمن	V	537
24	أ		P	513
25	ه		P	484
26	يَوْم	يوم	N	475
27	عَن		P	465
28	أَرْض	أرض	N	461
29	إِذا		N	423
30	قَد		P	406
31	قَوْم	قوم	N	383
32	عَلِمَ	علم	V	382
33	آيَة	أيي	N	382
34	أَنّ		P	362
35	ي		P	361
36	كُلّ	كلل	N	359
37	لَم		P	348
38	جَعَلَ	جعل	V	340
39	ثُمّ		P	338
40	رَسُول	رسل	N	332
41	عَذاب	عذب	N	322
42	سَماء	سمو	N	310
43	إِذ		N	309
44	نَفْس	نفس	N	295
45	كَفَرَ	كفر	V	289
46	ك		P	287
47	شَىْء	شيأ	N	283
48	أَو		P	280
49	جاءَ	جيأ	V	278
50	عَمِلَ	عمل	V	276
51	رَأَى	رأي	V	271
52	آتَى	أتي	V	271
53	بَيْن	بين	N	266
54	أَتَى	أتي	V	264
55	كِتاب	كتب	N	260
56	حَقّ	حقق	N	247
57	ن		P	243
58	قَبْل	قبل	N	242
59	ناس	أنس	N	241
60	شاءَ	شيأ	V	236
61	أَيّ	أيي	N	215
62	مُؤْمِن	أمن	N	202
63	لَو		P	201
64	بَعْد	بعد	N	199
65	عِند	عند	N	197
66	خَلَقَ	خلق	V	184
67	أَنزَلَ	نزل	V	183
68	خَيْر	خير	N	178
69	سَبِيل	سبل	N	176
70	كَذَّبَ	كذب	V	176
71	دَعا	دعو	V	170
72	أَمْر	أمر	N	166
73	اتَّقَى	وقي	V	166
74	لَمّا		N	165
75	مَع		N	164
76	عَلِيم	علم	N	163
77	بَعْض	بعض	N	157
78	ذُو		N	156
79	كافِر	كفر	N	156
80	آخِر	أخر	N	155
81	غَيْر	غير	N	147
82	إِلٰه	أله	N	147
83	جَنَّة	جنن	N	147
84	نار	نور	N	145
85	هَدَى	هدي	V	144
86	دُون	دون	N	144
87	حَتَّى		P	142
88	أَرادَ	رود	V	139
89	أَم		P	137
90	اتَّبَعَ	تبع	V	136
91	مُوسَى		N	136
92	قَلْب	قلب	N	132
93	عَبْد	عبد	N	131
94	أَرْسَلَ	رسل	V	130
95	لَعَلّ		P	129
96	ظالِم	ظلم	N	129
97	بَل		P	127
98	أَهْل	أهل	N	127
99	أَخَذَ	أخذ	V	127
100	اتَّخَذَ	أخذ	V	124
101	عَبَدَ	عبد	V	122
102	يَد	يدي	N	120
103	س		P	119
104	مُبِين	بين	N	119
105	رَحِيم	رحم	N	116
106	دُنْيا	دنو	N	115
107	رَحْمَة	رحم	N	114
108	ظَلَمَ	ظلم	V	110
109	عَظِيم	عظم	N	107
110	وَجَدَ	وجد	V	106
111	سَأَلَ	سأل	V	106
112	لَن		P	106
113	عِلْم	علم	N	105
114	أَجْر	أجر	N	105
115	عَزِيز	عزز	N	101
116	أَخْرَجَ	خرج	V	99
117	حَكِيم	حكم	N	97
118	أَكَلَ	أكل	V	93
